,factors,num_factors,cv_score,cv_score_std
1759,"['bulk_modulus_bcc', 'intr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.27647720800344666,0.061639367090768414
911,"['lattice_constant_fcc', 'c11_bcc', 'c11_fcc']",3,-0.27649027207634863,0.0838682461808097
3476,"['c44_bcc', 'surface_energy_110_bcc', 'unstable_stack_energy_fcc']",3,-0.27649474031936616,0.06322865377450032
3299,"['c12_sc', 'c44_fcc', 'unstable_twinning_energy_slip_fraction_fcc']",3,-0.2765161135136179,0.06489292282214111
1377,"['lattice_constant_sc', 'c44_fcc', 'unstable_stack_energy_slip_fraction_fcc']",3,-0.2765257986009906,0.05222181074761264
1830,"['bulk_modulus_fcc', 'c11_bcc', 'relaxed_formation_potential_energy_fcc']",3,-0.2765586282464254,0.07354685238164202
4068,"['unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",3,-0.2765853543987165,0.05526900435156293
2741,"['c11_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'unrelaxed_formation_potential_energy_fcc']",3,-0.2765910729606374,0.0722598651626195
2997,"['c12_bcc', 'c44_bcc', 'unrelaxed_formation_potential_energy_fcc']",3,-0.276602930452757,0.07544814978289648
983,"['lattice_constant_fcc', 'c12_bcc', 'extr_stack_fault_energy_fcc']",3,-0.27663257992263585,0.08141286670595374
1509,"['bulk_modulus_bcc', 'bulk_modulus_fcc', 'relaxed_formation_potential_energy_fcc']",3,-0.276650119928468,0.06648472754593193
2893,"['c11_sc', 'surface_energy_100_fcc', 'relaxation_volume_fcc']",3,-0.2766694668468752,0.06766085013152542
1703,"['bulk_modulus_bcc', 'cohesive_energy_fcc', 'unstable_stack_energy_fcc']",3,-0.2766986381193458,0.06966477727753016
3023,"['c12_bcc', 'c44_sc', 'unstable_twinning_energy_fcc']",3,-0.2767118131307427,0.0676114405071014
2737,"['c11_fcc', 'unstable_stack_energy_fcc', 'relaxation_volume_fcc']",3,-0.2767537145999148,0.08999585932555373
1839,"['bulk_modulus_fcc', 'c11_fcc', 'c44_fcc']",3,-0.27679072944868305,0.06821481698430094
1419,"['lattice_constant_sc', 'thermal_expansion_coeff_fcc', 'relaxed_formation_potential_energy_fcc']",3,-0.2768314383385166,0.055603418829894266
3704,"['c44_sc', 'unstable_stack_energy_slip_fraction_fcc', 'unstable_twinning_energy_fcc']",3,-0.27683484048755397,0.07376705368250112
1082,"['lattice_constant_fcc', 'cohesive_energy_fcc', 'relaxed_formation_potential_energy_fcc']",3,-0.27686630396488343,0.05218144933015429
1304,"['lattice_constant_sc', 'c12_bcc', 'cohesive_energy_fcc']",3,-0.2768754721469976,0.0712769859597297
2585,"['c11_fcc', 'c12_bcc', 'unrelaxed_formation_potential_energy_fcc']",3,-0.2768938237188568,0.0790392908130797
