,Unnamed: 0,crystal_type,species,model,lattice_constant_bcc,lattice_constant_fcc,lattice_constant_sc,bulk_modulus_bcc,bulk_modulus_fcc,bulk_modulus_sc,c44_bcc,c44_fcc,c44_sc,c12_bcc,c12_fcc,c12_sc,c11_bcc,c11_fcc,c11_sc,cohesive_energy_bcc,cohesive_energy_fcc,cohesive_energy_sc,thermal_expansion_coeff_fcc,surface_energy_100_fcc,surface_energy_110_fcc,surface_energy_111_fcc,surface_energy_121_fcc,extr_stack_fault_energy_fcc,intr_stack_fault_energy_fcc,unstable_stack_energy_fcc,unstable_stack_energy_slip_fraction_fcc,unstable_twinning_energy_fcc,unstable_twinning_energy_slip_fraction_fcc,relaxed_formation_potential_energy_bcc,relaxed_formation_potential_energy_fcc,relaxed_formation_potential_energy_hcp,unrelaxed_formation_potential_energy_bcc,unrelaxed_formation_potential_energy_fcc,unrelaxed_formation_potential_energy_hcp,vacancy_migration_energy_bcc,vacancy_migration_energy_fcc,vacancy_migration_energy_hcp,vacancy_migration_energy_sc,relaxation_volume_bcc,relaxation_volume_fcc,relaxation_volume_hcp,coeff,coeff_actual,coeff_pred
87,87,fcc,Cu,EAM_Dynamo_AcklandTichyVitek_1987_Cu__MO_179025990738_005,2.960708796977997,3.615000084042549,2.412747949361801,224.490230925461,138.0202529674778,159.5228846162533,147.15396822409986,76.62129426505408,54.1961405347873,191.7823081895824,122.09887461862309,90.8334116089275,289.90607639721816,169.8630096651873,296.9018306309049,3.4961587942280734,3.5193530299660107,2.9349876440971885,2.130383615047509e-05,0.0713077846561436,0.0768480355782599,0.0589974369919309,0.0718231516740794,0.0024509525848547,0.0022068738815926,0.0191370473545085,0.500781249999997,0.0204489331281653,1.49945312500002,,1.1881878974429885,,,1.2196237290673175,,,0.975389844187268,,,,2.598203827344601,,1.7771624497876102,1.7771624497876102,1.7945416731465247
88,88,fcc,Cu,EMT_Asap_MetalGlass_PaduraruKenoufiBailey_2007_CuZr__MO_987541074959_001,2.8532817363739014,3.587869718670845,2.4027437195181847,139.54776515039265,142.5149914522922,99.17721589148672,97.45981524791264,82.01439792041903,-21.43872685867382,141.57502045071425,126.19161303346436,19.783997440000768,135.49325454974954,175.1617482899479,257.96365279445865,3.491935987941109,3.521416067022819,3.0959885392134265,2.0626426574852856e-05,0.0717088277477547,0.0777517456181193,0.0659712240342701,0.0757495784929416,4.37285257757046e-05,4.2871631400957e-05,0.0090137754350866,0.499570312500001,0.0090355397659206,1.49960937499999,,1.1903873689553963,,,1.2111239795095436,,,0.7185612998779398,,,,2.0444851197220544,,1.5471466075298357,1.5471466075298357,1.5447008016157993
89,89,fcc,Cu,EAM_Dynamo_GolaPastewka_2018_CuAu__MO_426403318662_000,2.8671624064445496,3.613580609858036,2.391919866204262,130.46866971779235,138.57723732675444,123.94613175955476,87.97239645747055,76.5333063458812,-19.98757313082407,135.16009739514482,122.78914961075178,25.031792183351644,121.0858143630874,170.1534127587598,321.77481091196097,3.495202925111241,3.540726585980174,3.107536845429987,1.6237611721080295e-05,0.0840357326141475,0.0921673617112075,0.077426358222558,0.0895754357145352,0.0027719689188875,0.0027661325740811,0.0100183949880348,0.526054687500003,0.0113488349935909,1.499375,,1.272369924447743,,,1.309287530090157,,,0.68877216317515,,,,3.5123733979710856,,1.588505140573648,1.588505140573648,1.5219304086057106
90,90,fcc,Cu,EAM_Dynamo_MendelevKing_2013_Cu__MO_748636486270_005,2.8941409587860107,3.639029882848263,2.3838152438402176,117.20653243826064,142.84182171193834,88.71289093569976,70.00458920016094,83.85332612539003,-32.10876586391006,114.86670925900144,127.19430903495244,44.26531604137579,121.886178796779,174.13684706591016,177.6080407243477,3.381306982175972,3.4227191629642384,2.8390340890357435,1.0799104082618403e-05,0.0747976216396739,0.0796856991191029,0.0637006540124061,0.0758266993265111,0.002767931503739,0.0027667822653078,0.0143695179103431,0.533476562500004,0.0156192263118077,1.49988281249997,,1.105460483293113,,,1.126789108194239,,,0.9166200230954428,,,,3.5208621087139087,,1.6547954609558482,1.6547954609558482,1.6524672194698689
91,91,fcc,Cu,EAM_Dynamo_MendelevKramerBecker_2008_Cu__MO_945691923444_005,2.8947473019361496,3.639087498188019,2.40707403421402,138.22609280391285,143.35912726677532,71.14496381149522,79.91359005245596,84.5395646796681,-28.01683417997309,130.79491984357165,127.80954875427116,24.933795724404032,153.0884387245953,174.45828429178368,163.56729998567758,3.2427126262687667,3.283116209154321,2.6622291625734844,1.19694562112532e-05,0.0675884722594755,0.0720161234235213,0.0563360143282499,0.0680344266466639,0.0024135623868972,0.0024120261779744,0.0163913222278625,0.52810546875,0.0174669267065064,1.50005859375,,1.0480357683483177,,,1.064939756537647,,,0.9872227624966856,,,,3.577939401557221,,1.6778427379972918,1.6778427379972918,1.6817805984215266
92,92,fcc,Cu,EAM_Dynamo_MendelevSunZhang_2019_CuZr__MO_609260676108_000,2.8947472870349884,3.639087408781052,2.407073996961117,138.2261917702788,143.35910068971378,71.14498870891266,79.91358357896756,84.53959547666268,-28.01685048877925,130.79504948742283,127.80950023545256,24.933843377248664,153.0884763359908,174.45830159823626,163.56727937224068,3.242712626313633,3.2831162091667845,2.662229162580592,1.1901939532567753e-05,0.0675884717057802,0.0720161231842117,0.0563360121119488,0.0680344259416257,0.0024135706324537,0.0024120344207517,0.0163912957460158,0.528105468749997,0.0174669032072575,1.50003906249995,,1.0480357503344984,,,1.0649395406387283,,,0.9874013076629417,,,,3.57800836838885,,1.677648079010601,1.677648079010601,1.6812990131604102
93,93,fcc,Cu,EAM_Dynamo_MishinMehlPapaconstantopoulos_2001_Cu__MO_346334655118_005,2.8682700991630554,3.615000084042549,2.392846077680588,130.34232547112254,138.40981812785506,123.79408877473512,87.8665251125944,76.4083924493214,-19.95116830411532,135.0166487774197,122.65063014404,24.99334985255152,120.99367885852826,169.92819409548522,321.39556661910234,3.494492992193186,3.5399997674719867,3.106855790732065,1.6227933724791983e-05,0.083963831023405,0.0920866379812168,0.0773611332789614,0.0894982257588739,0.0027684821542948,0.0027625922360221,0.0100101253501307,0.526054687499998,0.0113388072467072,1.49966796875002,,1.272249296996938,,,1.3091854192483765,,,0.6886320766940882,,,,3.518071649832774,,1.5467766230826552,1.5467766230826552,1.5528814887291227
94,94,fcc,Cu,EAM_Dynamo_MendelevKramerOtt_2009_CuZr__MO_600021860456_005,2.894749075174332,3.6390850991010666,2.4070715829730034,138.26474730455027,143.46355376247288,71.1297773779524,79.90515971809943,84.53773048672242,-28.01956777132637,130.8348422917338,127.87797249975551,24.94009716525463,153.1245573301832,174.63471628790765,163.50913780334793,3.2427126025465243,3.283116231960678,2.66222915126123,1.19123555527126e-05,0.0675884717830699,0.0720161208800734,0.0563359629133517,0.0680344209027538,0.0024135744583393,0.0024120353619342,0.0163915383274028,0.528085937500003,0.017467166376752,1.50005859375001,,1.048047411346863,,,1.064933958196257,,,0.9872247994561016,,,,3.5666645146571225,,1.675800536918406,1.675800536918406,1.6846466210702795
95,95,fcc,Cu,EAM_Dynamo_CaiYe_1996_AlCu__MO_942551040047_005,2.8723893761634827,3.6147281527519226,2.4064862728118896,138.4067712067199,140.76845615328915,95.32365718932296,87.86654907357575,75.36727067282696,-23.152495216713834,139.0300450215016,126.98606725320808,18.718360835856963,137.16022357715653,168.3332339534513,248.534249896255,3.502144529814229,3.5245676655212885,3.10750214667491,1.98049186628105e-05,0.078080018604965,0.0844333575766042,0.0729236670286046,0.0828018383136257,-0.0002632325439565,-0.0002403171213976,0.0080665551748039,0.498984375,0.0079751596286922,1.49984375000003,,1.2742727925410895,,,1.307770787675656,,,0.6506747605462408,,,,2.4891659372695494,,1.468912361178474,1.468912361178474,1.4468080282982192
96,96,fcc,Cu,EAM_Dynamo_DeluigiPasianotValencia_2021_FeNiCrCoCu__MO_657255834688_000,2.8927952647209167,3.620000123977662,2.437567874789238,98.49859592593148,137.85898734597916,184.6850362247853,52.19632376660346,76.59051667850066,38.9763566550713,131.7782970288833,121.7772576153714,39.05903834323404,31.939193720027887,170.0224468071947,475.9370319878879,3.4142848902806286,3.539999939576871,3.2816988885535565,1.8689369195080168e-05,0.0778541306508699,0.0860966211683867,0.07733768593379,0.0854072644314882,0.0029886868781967,0.0028111465492382,0.0119581467067583,0.568124999999999,0.0136932781031463,1.505390625,,1.1277236995606852,,,1.1933670323291237,,,0.5012659606838503,,,,4.294557041635297,,1.3539802391385811,1.3539802391385811,1.3623968113967067
