,$E_0$,VME FCC,rVFPE FCC,uSFE FCC,uVFPE FCC,C44 FCC,SE110 FCC,SE100 FCC,uTwE FCC,SE121 FCC,CohEn. FCC,Bulk Mod. FCC,C11 FCC,CohEn. BCC,C12 FCC,SE111 FCC,C44 BCC,C11 SC,CohEn. SC,Bulk Mod. SC,C12 BCC,VRV BCC,Bulk Mod. BCC,iSFE FCC,eSFE FCC,TEC BCC,C11 BCC,VME BCC,uVFPE BCC,C12 SC,C44 SC,uSFE SF FCC,SE111 BCC,uTwESF FCC,SE100 BCC,SE121 BCC,SE110 BCC,VRV FCC,TEC FCC,rVFPE BCC,LC FCC,LC SC,LC BCC
SE111 BCC,-0.27,,,,,0.15,,,,,0.26,0.28,0.2,0.34,0.36,,-0.1,-0.72,0.09,-0.62,-0.39,-0.14,0.25,,,-0.23,0.51,-0.28,0.53,0.11,-0.23,,1.0,,0.99,0.97,0.98,,,0.7,0.4,0.52,0.32
uTwESF FCC,-0.27,-0.34,-0.24,-0.09,-0.19,-0.1,-0.12,-0.15,0.05,-0.13,-0.08,-0.17,-0.12,-0.05,-0.19,-0.12,-0.23,-0.15,0.02,-0.07,-0.15,,-0.1,0.26,0.42,,0.04,,,0.09,-0.07,0.36,,1.0,,,,0.4,0.38,,0.06,0.12,0.11
SE100 BCC,-0.29,,,,,0.13,,,,,0.25,0.32,0.23,0.33,0.41,,-0.09,-0.7,0.06,-0.58,-0.39,-0.08,0.24,,,-0.22,0.5,-0.32,0.47,0.16,-0.27,,0.99,,1.0,0.96,0.98,,,0.68,0.38,0.49,0.29
SE121 BCC,-0.39,,,,,0.15,,,,,0.2,0.27,0.21,0.29,0.33,,-0.25,-0.81,0.03,-0.69,-0.58,-0.31,0.15,,,-0.26,0.48,-0.19,0.64,0.13,-0.07,,0.97,,0.96,1.0,0.97,,,0.84,0.38,0.5,0.25
SE110 BCC,-0.4,,,,,0.25,,,,,0.21,0.4,0.33,0.29,0.47,,-0.17,-0.75,0.08,-0.63,-0.46,-0.16,0.19,,,-0.2,0.47,-0.35,0.51,0.16,-0.15,,0.98,,0.98,0.97,1.0,,,0.72,0.32,0.47,0.26
VRV FCC,-0.43,-0.35,-0.35,-0.23,-0.28,-0.38,-0.21,-0.2,-0.1,-0.2,-0.26,-0.2,-0.22,-0.25,-0.18,-0.17,-0.2,-0.21,-0.05,-0.1,-0.01,,-0.01,0.12,0.34,,-0.01,,,0.12,0.13,0.27,,0.4,,,,1.0,0.23,,0.46,0.42,0.43
TEC FCC,-0.48,-0.48,-0.41,-0.38,-0.37,-0.36,-0.35,-0.36,-0.37,-0.34,-0.32,-0.39,-0.37,-0.31,-0.38,-0.32,-0.34,-0.32,-0.23,-0.25,-0.27,,-0.24,-0.19,-0.16,,-0.06,,,0.04,0.1,0.11,,0.38,,,,0.23,1.0,,0.31,0.32,0.38
rVFPE BCC,-0.51,,,,,0.1,,,,,0.01,-0.01,0.02,0.1,-0.06,,-0.23,-0.89,-0.12,-0.83,-0.67,-0.31,0.19,,,-0.46,0.58,-0.12,0.64,-0.12,0.27,,0.7,,0.68,0.84,0.72,,,1.0,0.25,0.38,0.13
LC FCC,-0.66,-0.55,-0.67,-0.43,-0.64,-0.71,-0.47,-0.43,-0.42,-0.46,-0.53,-0.5,-0.48,-0.58,-0.48,-0.38,-0.4,-0.53,-0.47,-0.39,-0.15,-0.02,-0.2,-0.19,-0.17,-0.27,-0.2,0.03,0.66,0.12,0.24,0.07,0.4,0.06,0.38,0.38,0.32,0.46,0.31,0.25,1.0,0.93,0.88
LC SC,-0.67,-0.53,-0.64,-0.44,-0.59,-0.69,-0.56,-0.54,-0.43,-0.55,-0.46,-0.47,-0.44,-0.48,-0.47,-0.49,-0.44,-0.58,-0.38,-0.4,-0.17,-0.07,-0.23,-0.17,-0.14,-0.56,-0.22,0.09,0.68,0.19,0.26,0.13,0.52,0.12,0.49,0.5,0.47,0.42,0.32,0.38,0.93,1.0,0.95
LC BCC,-0.72,-0.59,-0.69,-0.48,-0.65,-0.74,-0.66,-0.63,-0.47,-0.65,-0.47,-0.49,-0.48,-0.47,-0.48,-0.61,-0.5,-0.53,-0.36,-0.36,-0.19,0.06,-0.25,-0.21,-0.18,-0.22,-0.24,0.02,0.58,0.17,0.25,0.11,0.32,0.11,0.29,0.25,0.26,0.43,0.38,0.13,0.88,0.95,1.0
